ano_mes,setor,ret_setor,n_empresas,data
2013-02,Utilidade Pública,-0.014172662251686511,35,2013-02-28
2013-03,Bens Industriais,-0.006464919933409786,39,2013-03-31
2013-03,Comunicações,-0.05072741900312966,4,2013-03-31
2013-03,Consumo Cíclico,-0.022683126781873095,63,2013-03-31
2013-03,Consumo não Cíclico,0.040186943585987914,15,2013-03-31
2013-03,Financeiro,0.012020247900972494,45,2013-03-31
2013-03,Materiais Básicos,-0.041788530409197513,26,2013-03-31
2013-03,Outros,-0.3465470210931212,2,2013-03-31
2013-03,"Petróleo, Gás e Biocombustíveis",-0.14081617751492562,8,2013-03-31
2013-03,Saúde,-0.011384444565814318,14,2013-03-31
2013-03,Tecnologia da Informação,-0.0255034566870234,6,2013-03-31
2013-03,Utilidade Pública,-0.005095224800792035,33,2013-03-31
2013-04,Bens Industriais,-0.002778149846899678,39,2013-04-30
2013-04,Comunicações,-0.1039881988516243,4,2013-04-30
2013-04,Consumo Cíclico,-0.005093047206088976,64,2013-04-30
2013-04,Consumo não Cíclico,0.015355068057647702,15,2013-04-30
2013-04,Financeiro,-0.022632750455009478,48,2013-04-30
2013-04,Materiais Básicos,-0.010943490376585388,27,2013-04-30
2013-04,Outros,-0.037992953488961034,2,2013-04-30
