data,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2014-03-31,0.92,2.3261,10.65,103.64591,-0.02446085692482214,0.22000000000000064,0.2300000000000001,-0.0015986611164985343
2014-04-30,0.67,2.2328,10.87,103.21516,-0.04093664219374937,0.21999999999999886,-0.25,-0.004155976825327756
2014-05-31,0.46,2.2209,10.9,102.8217,-0.005343884104950125,0.030000000000001137,-0.21000000000000002,-0.003812036913957151
2014-06-30,0.4,2.2355,10.9,100.7245,0.00655239755687298,0.0,-0.06,-0.020396472729005688
2014-07-31,0.01,2.2246,10.9,101.4328,-0.004887792516106271,0.0,-0.39,0.0070320527776259745
2014-08-31,0.25,2.268,10.9,102.28257,0.019321261689713598,0.0,0.24,0.00837766481848079
2014-09-30,0.57,2.3329,10.9,102.86789,0.028213742988950408,0.0,0.31999999999999995,0.005722578147967949
2014-10-31,0.42,2.4483,10.92,102.06678,0.0482817773067139,0.019999999999999574,-0.14999999999999997,-0.00778775573213375
2014-11-30,0.51,2.5484,11.15,102.19447,0.04007180509902619,0.23000000000000043,0.09000000000000002,0.0012510436794419544
2014-12-31,0.78,2.6394,11.58,102.64939,0.03508590734039607,0.4299999999999997,0.27,0.004451512885188524
2015-01-31,1.24,2.6342,11.82,101.806,-0.001972088017783147,0.2400000000000002,0.45999999999999996,-0.008216220281484388
2015-02-28,1.22,2.8165,12.15,101.08664,0.06691544876982258,0.33000000000000007,-0.020000000000000018,-0.007065988252165867
2015-03-31,1.32,3.1395,12.58,100.90844,0.10856857221939542,0.4299999999999997,0.10000000000000009,-0.0017628442294649327
2015-04-30,0.71,3.0432,12.68,99.65699,-0.031153958203092857,0.09999999999999964,-0.6100000000000001,-0.012401836754190265
2015-05-31,0.74,3.0617,13.15,98.99924,0.006060723887055364,0.47000000000000064,0.030000000000000027,-0.006600139137254657
2015-06-30,0.79,3.1117,13.58,97.92725,0.016198883385000196,0.4299999999999997,0.050000000000000044,-0.01082826494425615
2015-07-31,0.62,3.2231,13.69,96.9346,0.035174428704468186,0.10999999999999943,-0.17000000000000004,-0.010136606511466417
2015-08-31,0.22,3.5143,14.15,97.38597,0.08649672956993415,0.46000000000000085,-0.4,0.004656438464696766
2015-09-30,0.54,3.9065,14.15,96.65676,0.10580147353926983,0.0,0.32000000000000006,-0.007487834233206203
2015-10-31,0.82,3.8801,14.15,97.21119,-0.006780905955726668,0.0,0.2799999999999999,0.00573607060696002
2015-11-30,1.01,3.7765,14.15,96.03935,-0.027063271727569616,0.0,0.19000000000000006,-0.012054579313348635
2015-12-31,0.96,3.8711,14.15,95.69982,0.024741049608533627,0.0,-0.050000000000000044,-0.0035353217196909537
2016-01-31,1.27,4.0524,14.15,95.25209,0.04577059381748594,0.0,0.31000000000000005,-0.004678483198819028
2016-02-29,0.9,3.9737,14.15,95.22108,-0.019611647606807114,0.0,-0.37,-0.00032555716100290955
2016-03-31,0.43,3.7039,14.15,94.49179,-0.07031133201126605,0.0,-0.47000000000000003,-0.007658913341457629
2016-04-30,0.61,3.5658,14.15,94.43128,-0.03799788596077924,0.0,0.18,-0.0006403730948476571
2016-05-31,0.78,3.5393,14.15,94.10093,-0.007459465138997867,0.0,0.17000000000000004,-0.003498311152829836
2016-06-30,0.35,3.4245,14.15,94.35172,-0.0329734918237119,0.0,-0.43000000000000005,0.0026651171247722427
2016-07-31,0.52,3.2756,14.15,94.07983,-0.04445441724192678,0.0,0.17000000000000004,-0.0028816644784005474
2016-08-31,0.44,3.2097,14.15,93.79519,-0.020323583583362614,0.0,-0.08000000000000002,-0.0030255156711060938
2016-09-30,0.08,3.2564,14.15,93.84337,0.014444815887152185,0.0,-0.36,0.0005136723962069212
2016-10-31,0.26,3.1858,14.05,93.59002,-0.02191885583928488,-0.09999999999999964,0.18,-0.0026997112315979566
2016-11-30,0.18,3.342,13.9,93.47435,0.04786599529480107,-0.15000000000000036,-0.08000000000000002,-0.00123592237719361
2016-12-31,0.3,3.3523,13.65,93.20961,0.003077247248538084,-0.25,0.12,-0.002832220817796549
2017-01-31,0.38,3.1966,13.17,93.89639,-0.04755893246932397,-0.4800000000000004,0.08000000000000002,0.007368124381166297
2017-02-28,0.33,3.1042,12.82,95.09763,-0.029331711717468956,-0.34999999999999964,-0.04999999999999999,0.012793250091936326
2017-03-31,0.25,3.1279,12.15,95.10616,0.00760581962762541,-0.6699999999999999,-0.08000000000000002,8.969729319230346e-05
2017-04-30,0.14,3.1362,11.59,94.92893,0.0026500231022215104,-0.5600000000000005,-0.10999999999999999,-0.001863496539025511
2017-05-31,0.31,3.2095,11.15,94.78815,0.02310328580490162,-0.4399999999999995,0.16999999999999998,-0.0014830041800744098
2017-06-30,-0.23,3.2954,10.15,95.2379,0.026412394871498268,-1.0,-0.54,0.0047447914111626854
2017-07-31,0.24,3.2061,10.01,95.33598,-0.027472311424370233,-0.14000000000000057,0.47,0.0010298421111765155
2017-08-31,0.19,3.1509,9.15,95.06293,-0.017367118902121392,-0.8599999999999994,-0.04999999999999999,-0.002864081325854251
2017-09-30,0.16,3.1348,8.35,95.03537,-0.005122750118129904,-0.8000000000000007,-0.03,-0.0002899132185384401
2017-10-31,0.42,3.1912,8.01,95.32385,0.017831645412487385,-0.33999999999999986,0.26,0.003035501413841901
2017-11-30,0.28,3.2594,7.4,95.43246,0.02114610775069159,-0.6099999999999994,-0.13999999999999996,0.0011393790745968246
2017-12-31,0.44,3.2919,7.0,96.85892,0.00992177632297464,-0.40000000000000036,0.15999999999999998,0.01494732505061691
2018-01-31,0.29,3.2106,6.9,96.21513,-0.025007070119549057,-0.09999999999999964,-0.15000000000000002,-0.006646677456242478
2018-02-28,0.32,3.2415,6.72,95.88601,0.009578350069736397,-0.1800000000000006,0.030000000000000027,-0.003420667830516866
2018-03-31,0.09,3.2792,6.58,95.90011,0.011563304575077371,-0.13999999999999968,-0.23,0.00014704960608957762
2018-04-30,0.22,3.4075,6.4,96.45044,0.03837939438055993,-0.17999999999999972,0.13,0.005738575273792623
