variavel,lag,correlacao,subsetor
delta_selic,4,0.02168975218196495,Gás
delta_selic,5,-0.022068788033386116,Gás
delta_selic,6,-0.01342743781005591,Gás
delta_ipca,0,0.012778620156557561,Gás
delta_ipca,1,-0.02863777220036808,Gás
delta_ipca,2,0.17503750109349683,Gás
delta_ipca,3,-0.05343122929893141,Gás
delta_ipca,4,-0.013081777887831512,Gás
delta_ipca,5,-0.048721120517266715,Gás
delta_ipca,6,-0.061410455484973404,Gás
var_dolar,0,-0.11990258967672228,Gás
var_dolar,1,0.06967057119967666,Gás
var_dolar,2,0.02580802863764268,Gás
var_dolar,3,0.05227190200238019,Gás
var_dolar,4,-0.004372135585417052,Gás
var_dolar,5,0.041798993381428166,Gás
var_dolar,6,0.06158637965520424,Gás
ibc_var,0,0.18554886342247892,Gás
ibc_var,1,0.0324144854067123,Gás
ibc_var,2,-0.07756340139893415,Gás
ibc_var,3,0.05942628490226228,Gás
ibc_var,4,0.07760126817487853,Gás
ibc_var,5,0.009117202327261204,Gás
ibc_var,6,0.047090488044769306,Gás
delta_selic,0,-0.029944803586619866,Holdings Diversificadas
delta_selic,1,-0.0271280890428233,Holdings Diversificadas
delta_selic,2,0.019469898999031628,Holdings Diversificadas
delta_selic,3,-0.037319956393751574,Holdings Diversificadas
delta_selic,4,-0.06188730246792652,Holdings Diversificadas
delta_selic,5,-0.03604718959845554,Holdings Diversificadas
delta_selic,6,-0.12137637625801778,Holdings Diversificadas
delta_ipca,0,0.035532517695658135,Holdings Diversificadas
delta_ipca,1,-0.10529035529757892,Holdings Diversificadas
delta_ipca,2,0.10080887798083903,Holdings Diversificadas
delta_ipca,3,-0.13635416576535894,Holdings Diversificadas
delta_ipca,4,-0.010629233043064786,Holdings Diversificadas
delta_ipca,5,0.01379961327747269,Holdings Diversificadas
delta_ipca,6,0.05607214690790286,Holdings Diversificadas
var_dolar,0,-0.34781009727668505,Holdings Diversificadas
var_dolar,1,-0.11772536800660077,Holdings Diversificadas
var_dolar,2,0.08024665933389868,Holdings Diversificadas
var_dolar,3,0.16115780037680577,Holdings Diversificadas
var_dolar,4,0.16636800987385272,Holdings Diversificadas
var_dolar,5,0.027018341771494297,Holdings Diversificadas
var_dolar,6,-0.13715749008642997,Holdings Diversificadas
ibc_var,0,0.15388334694110048,Holdings Diversificadas
ibc_var,1,0.13906535875378961,Holdings Diversificadas
ibc_var,2,-0.02763973423301385,Holdings Diversificadas
ibc_var,3,-0.07524428456792398,Holdings Diversificadas
ibc_var,4,-0.018319809476953258,Holdings Diversificadas
ibc_var,5,0.059821286463012255,Holdings Diversificadas
ibc_var,6,0.047791869123892584,Holdings Diversificadas
delta_selic,0,-0.11306287248089746,Hoteis e Restaurantes
delta_selic,1,-0.019698405765830013,Hoteis e Restaurantes
delta_selic,2,-0.06946848093112508,Hoteis e Restaurantes
delta_selic,3,0.025790917525089226,Hoteis e Restaurantes
delta_selic,4,-0.05101206251576284,Hoteis e Restaurantes
delta_selic,5,-0.03828029234310376,Hoteis e Restaurantes
delta_selic,6,-0.059372230160190706,Hoteis e Restaurantes
delta_ipca,0,-0.025999340285941384,Hoteis e Restaurantes
delta_ipca,1,0.034930966892680486,Hoteis e Restaurantes
delta_ipca,2,-0.010686435977911852,Hoteis e Restaurantes
delta_ipca,3,-0.0850094829635844,Hoteis e Restaurantes
delta_ipca,4,-0.056211303400614865,Hoteis e Restaurantes
delta_ipca,5,-0.012333990476113294,Hoteis e Restaurantes
delta_ipca,6,0.14012203516247923,Hoteis e Restaurantes
var_dolar,0,-0.3125560604569076,Hoteis e Restaurantes
var_dolar,1,-0.06435371230425732,Hoteis e Restaurantes
var_dolar,2,0.028854636956318753,Hoteis e Restaurantes
var_dolar,3,0.10593871146329907,Hoteis e Restaurantes
var_dolar,4,0.03923322409382257,Hoteis e Restaurantes
var_dolar,5,-0.02756548972924584,Hoteis e Restaurantes
var_dolar,6,-0.04832649761541033,Hoteis e Restaurantes
ibc_var,0,0.13649745434413596,Hoteis e Restaurantes
ibc_var,1,-0.05897085986550826,Hoteis e Restaurantes
ibc_var,2,-0.08719450323340794,Hoteis e Restaurantes
ibc_var,3,-0.06650350947662668,Hoteis e Restaurantes
ibc_var,4,0.08990168154458066,Hoteis e Restaurantes
ibc_var,5,0.02398005431534628,Hoteis e Restaurantes
ibc_var,6,0.05814223904169511,Hoteis e Restaurantes
delta_selic,0,-0.1317616742669825,Intermediários Financeiros
delta_selic,1,-0.0998536829553173,Intermediários Financeiros
delta_selic,2,-0.048617081321749,Intermediários Financeiros
delta_selic,3,-0.036775536483813105,Intermediários Financeiros
delta_selic,4,-0.0730770229161268,Intermediários Financeiros
delta_selic,5,-0.046782568763278104,Intermediários Financeiros
delta_selic,6,-0.06521939477475511,Intermediários Financeiros
delta_ipca,0,-0.018590821120964156,Intermediários Financeiros
delta_ipca,1,0.038304729746216556,Intermediários Financeiros
delta_ipca,2,-0.0058535915671518455,Intermediários Financeiros
delta_ipca,3,-0.11581424536122709,Intermediários Financeiros
delta_ipca,4,-0.054411806569561974,Intermediários Financeiros
delta_ipca,5,-0.0018431201449487255,Intermediários Financeiros
delta_ipca,6,0.10329549746494056,Intermediários Financeiros
var_dolar,0,-0.5277340804925033,Intermediários Financeiros
var_dolar,1,-0.10374098994087357,Intermediários Financeiros
var_dolar,2,0.13089424610627914,Intermediários Financeiros
var_dolar,3,0.12518389843966998,Intermediários Financeiros
var_dolar,4,0.06106132386185197,Intermediários Financeiros
var_dolar,5,-0.05429991084083821,Intermediários Financeiros
var_dolar,6,-0.14833529619397426,Intermediários Financeiros
ibc_var,0,0.2213205371828151,Intermediários Financeiros
ibc_var,1,0.028730786735084807,Intermediários Financeiros
ibc_var,2,-0.16425833663779776,Intermediários Financeiros
ibc_var,3,-0.07938625378374378,Intermediários Financeiros
ibc_var,4,0.02896336917379273,Intermediários Financeiros
ibc_var,5,0.043424157039071036,Intermediários Financeiros
ibc_var,6,0.0764001276593463,Intermediários Financeiros
delta_selic,0,-0.1470700181224991,Madeira e Papel
delta_selic,1,-0.1634884999721625,Madeira e Papel
delta_selic,2,-0.19406212383701382,Madeira e Papel
delta_selic,3,-0.19287188278362472,Madeira e Papel
delta_selic,4,-0.2439759292411299,Madeira e Papel
delta_selic,5,-0.17640748349333066,Madeira e Papel
delta_selic,6,-0.21580054312230815,Madeira e Papel
delta_ipca,0,-0.018110714390473397,Madeira e Papel
delta_ipca,1,0.09369503091902137,Madeira e Papel
delta_ipca,2,0.06446460612563405,Madeira e Papel
delta_ipca,3,-0.11663457464655133,Madeira e Papel
delta_ipca,4,0.038128117722745526,Madeira e Papel
delta_ipca,5,-0.0381711316784157,Madeira e Papel
delta_ipca,6,0.009721176262069095,Madeira e Papel
